East,North,Level,Au_ppm,Al_per,As_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_per,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Fe_per,Ga_ppm,Ge_ppm,Hf_ppm,K_per,La_ppm,Mg_per,Mn_ppm,Mo_ppm,Na_per,Nb_ppm,Ni_ppm,P_ppm,Rb_ppm,S_per,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_per,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zr_ppm,target_Au,Se_detectado,Te_detectado
7736.492,5339.727,1412.109,0.005,2.46,14.82,156.75,0.3,0.05,0.05,0.41,9.32,4.03,24.99,3.65,1.36,4.99,0.025,0.56,0.8,3.78,0.25,231.22,0.63,0.02,1.51,4.4,223.68,55.96,0.005,12.77,3.92,0.5,0.31,8.21,0.1,0.025,1.11,0.11,0.48,0.33,39.28,1.05,3.38,25.33,0,0,0
7879.174,5764.615,1465.839,0.006,5.04,23.9,323.69,0.58,0.05,0.09,0.01,17.92,6.08,31.45,6.09,3.72,11.84,0.025,1.13,1.81,8.52,0.92,417.55,3.23,0.04,3.92,7.75,497.57,124.27,0.08,16.76,8.07,0.5,1.11,13.21,0.24,0.025,2.28,0.29,1.04,0.45,81.28,2.58,5.42,47.11,0,0,0
7870.033,5722.899,1465.839,0.005,8.3,18.1,397.11,1.19,0.06,2.85,0.05,34.32,15.48,34.54,11.99,4.91,19.46,0.025,1.83,2.66,15.59,1.8,943.07,0.26,0.06,6.03,10.15,666.62,158.92,0.29,3.91,15.47,0.5,1.05,36.38,0.36,0.025,2.53,0.5,1.31,0.77,145.37,2.68,11.88,66.62,0,0,0
7866.813,5725.574,1465.839,0.025,3.94,22.64,263.53,0.53,0.05,0.91,4.42,12.04,6.95,21.99,6.26,1.93,7.73,0.025,0.83,1.28,4.61,0.66,324.43,3.41,0.03,2.07,4.67,264.07,97.53,0.25,15.5,5.63,0.5,0.49,19.14,0.15,0.025,1.11,0.18,0.78,0.29,55.85,1.15,4.33,26.73,0,0,0
7760.933,5627.106,1399.449,0.0025,8.2,5.4,499.2,1.12,0.05,4.46,0.1,44.45,18.96,39.37,6.99,4.39,18.43,0.07,2.1,0.99,21.96,1.85,1054.25,0.25,2.22,6.78,16.19,861.67,54.51,0.01,2.0,23.06,0.5,1.11,541.43,0.48,0.025,4.46,0.47,0.49,1.36,158.87,0.73,17.63,79.19,0,0,0
7766.117,5612.502,1399.449,0.007,3.54,51.77,198.52,0.47,0.05,0.14,0.05,16.27,9.79,29.45,7.93,2.19,8.18,0.025,1.13,1.44,6.64,0.34,378.73,6.99,0.03,3.42,8.82,592.28,108.04,0.07,20.64,9.15,0.5,0.64,12.62,0.2,0.025,2.05,0.23,0.83,0.64,72.47,1.48,5.83,39.9,0,0,0
7765.708,5612.842,1399.449,0.0025,7.94,4.36,505.76,0.96,0.05,2.56,0.05,40.3,20.18,39.47,12.09,4.69,15.74,0.05,1.45,2.14,18.81,2.17,876.7,0.3,0.85,6.65,17.76,906.52,130.08,0.06,2.27,15.0,0.5,0.86,154.18,0.44,0.025,3.07,0.4,1.14,0.87,128.18,1.68,12.16,56.98,0,0,0
7831.989,5577.365,1399.449,0.005,3.29,11.48,124.31,0.4,0.05,0.41,0.05,17.19,6.81,23.6,4.51,2.29,6.91,0.025,0.61,0.83,8.03,0.64,645.05,0.54,0.41,2.28,6.43,545.11,49.6,0.03,19.49,5.01,0.5,0.39,30.47,0.15,0.069,1.43,0.17,0.45,0.4,52.66,1.28,4.87,21.81,0,0,1
7832.785,5574.106,1399.449,0.0025,7.55,8.55,299.75,0.92,0.05,3.61,0.07,36.72,15.38,36.64,7.28,4.7,16.88,0.025,1.49,1.73,16.73,1.46,1228.1,0.18,1.15,5.94,13.72,810.01,139.32,0.12,4.39,15.68,0.5,1.15,90.61,0.4,0.025,3.3,0.44,1.02,0.72,124.74,1.93,14.59,59.67,0,0,0
6352.596,6830.149,1352.149,132.245,1.83,50.25,65.47,0.51,0.05,0.03,0.13,0.33,0.22,13.95,4.91,0.82,6.33,0.17,0.05,0.9,0.25,0.11,49.39,13.5,0.02,0.11,0.86,66.47,69.05,0.04,130.85,0.2,64.03,0.1,9.74,0.025,0.081,0.08,0.0025,0.62,0.05,7.41,0.1,0.2,0.64,1,1,1
6352.74,6819.014,1352.149,4.392,6.09,5.64,529.6,1.53,0.11,0.68,0.3,44.83,0.55,7.48,6.35,0.92,12.02,0.06,2.49,2.21,23.78,0.09,338.74,4.7,1.39,6.25,0.63,69.04,132.86,0.01,11.92,2.39,3.84,1.95,71.99,0.8,0.025,13.69,0.04,1.03,5.02,1.01,1.23,17.68,78.27,1,1,0
6342.413,6822.44,1332.569,0.01,5.23,3.22,579.07,1.05,0.05,1.03,0.15,36.42,1.33,12.53,6.96,1.09,9.35,0.025,1.89,2.67,20.7,0.15,453.52,0.45,0.4,5.88,0.83,127.13,133.93,0.01,1.12,1.54,0.5,1.33,56.62,0.76,0.059,16.36,0.06,1.23,3.12,7.58,1.03,11.77,54.89,0,0,1
6339.352,6818.917,1332.569,0.037,7.12,2.52,609.43,1.4,0.12,2.15,0.11,40.88,3.71,4.28,13.73,2.19,16.62,0.07,2.58,2.69,19.5,0.46,576.69,0.18,0.87,7.9,1.4,400.54,150.93,0.005,1.33,5.77,0.5,1.74,61.61,0.6,0.025,7.84,0.19,1.21,2.39,31.12,1.42,18.41,96.68,0,0,0
6428.974,6727.485,1352.149,0.012,7.36,40.92,707.22,1.2,0.05,2.19,0.05,36.32,13.6,34.21,4.65,4.37,16.97,0.08,1.93,2.8,17.06,1.31,822.65,0.46,2.3,5.74,7.76,816.37,142.2,0.04,4.81,17.56,0.5,1.03,312.71,0.37,0.025,3.28,0.44,1.62,1.1,149.52,1.32,17.78,70.04,0,0,0
6600.749,6751.646,1352.149,0.005,6.43,2.27,590.05,1.36,0.13,2.85,0.12,34.53,7.44,10.15,6.95,2.59,14.46,0.08,2.51,1.79,18.25,0.62,661.49,0.17,2.67,6.08,4.16,492.92,83.66,0.005,0.49,7.88,0.5,1.51,221.72,0.46,0.025,6.45,0.24,0.58,2.21,46.24,0.81,14.63,88.74,0,0,0
6825.562,6722.534,1337.959,0.011,6.54,2.76,546.5,1.51,0.14,0.21,0.18,61.33,0.82,4.27,1.82,1.6,16.13,0.11,3.84,1.77,27.62,0.12,316.02,0.33,3.31,5.51,0.54,101.66,68.5,0.005,2.08,10.55,0.5,2.83,217.52,0.5,0.025,14.68,0.06,0.58,3.19,5.1,0.39,17.19,116.49,0,0,0
6847.915,6724.651,1337.959,0.0025,8.72,4.22,500.57,1.25,0.05,4.6,0.07,47.15,15.77,30.99,2.91,4.69,20.76,0.09,2.56,1.21,18.79,1.83,795.08,0.93,1.92,7.1,8.03,842.85,36.89,0.005,2.09,21.09,0.5,1.3,501.57,0.42,0.025,4.95,0.49,0.32,1.35,134.68,0.73,18.99,99.28,0,0,0
6118.036,7220.62,1147.359,0.005,6.43,2.7,701.83,2.05,0.08,0.43,0.51,61.56,0.48,11.11,2.01,1.21,16.03,0.09,3.07,2.86,29.42,0.03,376.9,3.75,2.85,7.83,0.96,66.85,119.13,0.005,1.35,8.45,0.5,2.73,93.75,0.68,0.025,15.01,0.07,1.02,3.3,4.11,0.2,18.82,81.03,0,0,0
5190.027,7115.999,830.949,0.0025,5.66,3.36,1285.66,1.68,0.18,0.17,0.16,49.78,0.51,18.46,3.74,1.21,12.45,0.07,2.68,4.27,27.04,0.07,217.67,1.36,1.58,6.78,1.25,37.07,159.95,0.005,1.01,2.42,0.5,2.63,281.19,0.9,0.025,17.26,0.03,1.53,5.28,1.0,0.55,18.08,75.0,0,0,0
5136.996,6318.009,1292.959,0.082,1.66,9.33,19.59,0.2,0.49,0.63,0.01,6.82,3.92,14.91,0.47,9.81,9.14,0.025,0.37,0.07,3.06,0.27,345.1,0.29,0.01,1.85,1.29,395.08,3.66,0.09,5.12,4.25,1.0,3.49,19.77,0.11,0.487,1.08,0.14,0.05,0.18,61.82,0.54,2.4,8.98,0,1,1
5132.958,6328.05,1292.959,0.0025,9.37,7.45,578.92,1.19,0.1,4.01,0.19,53.35,18.73,30.46,21.2,5.19,22.06,0.1,0.96,2.5,22.17,1.44,1273.78,0.99,1.9,7.69,9.79,1008.24,136.82,0.98,2.2,21.31,0.5,1.32,239.61,0.49,0.025,3.67,0.61,1.29,0.66,159.4,1.09,19.29,32.63,0,0,0
5006.964,6547.981,1146.899,0.01,7.52,10.35,544.32,1.45,0.25,2.65,0.05,48.73,6.02,20.84,4.8,2.62,19.48,0.09,1.73,2.93,24.71,0.49,458.09,0.44,1.5,6.65,3.52,451.86,140.65,0.83,1.31,5.46,0.5,1.71,186.4,0.56,0.27,9.65,0.25,0.96,2.3,38.35,0.9,17.77,62.14,0,0,1
5110.048,6320.006,1292.959,0.007,8.22,3.09,414.57,0.97,0.09,4.35,0.05,46.79,14.89,29.16,6.98,5.43,18.79,0.12,1.53,1.2,18.79,1.74,1053.43,1.2,1.68,6.19,9.13,798.53,56.01,0.69,0.82,20.97,0.5,1.45,406.06,0.46,0.186,6.39,0.49,0.99,1.24,141.37,1.06,23.11,57.28,0,0,1
5111.019,6689.958,1012.639,0.0025,8.18,3.45,388.09,1.34,0.05,4.22,0.05,46.27,15.94,40.64,10.33,5.74,22.78,0.13,0.81,1.49,21.04,1.78,1006.24,0.86,1.82,6.21,11.79,948.34,81.24,0.88,1.01,23.19,1.07,1.29,426.7,0.43,0.128,4.59,0.45,1.21,0.9,152.62,1.33,22.52,26.4,0,1,1
5184.997,6989.987,934.069,0.0025,8.46,5.71,514.29,1.16,0.05,5.35,0.16,50.13,18.93,31.56,5.77,5.69,20.99,0.09,3.15,1.08,22.72,1.99,938.24,1.11,1.95,7.59,10.46,899.79,31.72,0.01,1.98,26.49,0.5,1.05,402.76,0.53,0.025,4.75,0.51,0.31,1.41,169.32,0.58,28.44,110.49,0,0,0
6342.393,6898.786,1302.709,12.985,2.63,11.86,98.76,0.48,0.05,0.02,0.05,0.25,0.21,12.7,8.35,0.42,6.04,0.025,0.05,1.29,0.25,0.11,40.4,105.98,0.02,0.05,0.76,27.88,101.17,0.005,47.87,0.19,2.06,0.1,12.96,0.025,0.154,0.05,0.0025,1.04,0.05,10.83,0.1,0.2,0.6,1,1,1
6340.953,6898.741,1302.709,0.014,6.09,2.51,395.14,1.53,0.1,0.5,0.43,57.13,0.64,5.23,6.6,1.07,14.22,0.05,3.17,2.25,29.49,0.13,239.08,0.68,1.17,6.61,0.52,63.81,142.2,0.005,5.63,2.63,0.5,1.84,57.35,0.96,0.025,19.54,0.05,1.22,5.16,1.0,1.23,16.19,81.56,0,0,0
6343.687,6864.89,1302.709,10.903,2.81,3.55,102.46,0.37,0.05,0.03,0.07,0.26,0.11,14.64,4.48,0.39,4.49,0.025,0.05,1.13,0.25,0.08,43.07,2.13,0.02,0.1,0.61,10.55,75.5,0.01,46.64,0.11,5.0,0.1,11.65,0.025,0.025,0.07,0.0025,0.73,0.05,4.35,0.05,0.11,0.64,1,1,0
6332.121,6896.556,1302.709,0.039,6.43,35.54,431.16,0.8,0.08,0.01,0.01,42.13,0.36,3.2,9.62,1.36,16.69,0.025,2.57,3.42,21.56,0.2,88.02,15.33,0.05,5.92,0.43,345.06,245.07,0.005,8.58,3.85,0.5,1.4,9.35,0.56,0.025,11.04,0.15,2.09,2.18,20.64,1.69,9.91,94.57,0,0,0
6494.297,6741.99,1352.149,0.188,2.32,132.76,123.61,0.63,0.05,0.02,0.08,10.89,1.12,15.42,5.53,1.88,6.2,0.025,0.54,1.12,5.68,0.1,84.78,27.88,0.03,1.11,1.42,304.35,74.07,0.01,35.9,2.98,0.5,0.27,12.28,0.09,0.025,0.8,0.09,0.78,0.32,36.58,1.04,3.97,19.4,1,0,0
6737.494,6511.198,1229.269,0.026,3.09,27.44,183.25,0.62,0.05,0.64,0.22,12.91,5.86,29.56,7.98,1.87,7.6,0.025,0.95,1.2,5.04,0.38,381.58,6.6,0.03,1.86,3.98,279.54,102.46,0.15,24.95,4.48,0.5,0.49,19.14,0.14,0.025,1.31,0.14,0.82,0.42,54.48,2.64,4.75,39.08,0,0,0
6736.715,6504.185,1229.269,0.008,9.14,35.03,484.16,1.43,0.05,3.32,0.1,42.4,16.02,31.92,18.84,5.73,22.52,0.07,1.55,3.31,20.16,1.93,1012.38,0.34,0.41,6.27,9.46,860.51,283.37,0.48,5.33,16.02,0.5,1.38,87.85,0.46,0.025,3.17,0.52,2.27,0.88,136.5,2.91,13.88,62.94,0,0,0
6381.42,6659.103,1352.149,0.0025,8.06,3.09,475.3,1.48,0.16,4.02,0.11,49.83,16.33,26.64,14.5,4.41,19.06,0.08,1.89,2.33,22.46,1.29,894.12,0.16,1.85,7.39,9.86,836.88,167.62,0.25,1.85,14.11,0.5,1.59,202.37,0.51,0.061,6.02,0.42,1.18,1.31,117.75,2.02,20.49,64.16,0,0,1
6751.775,6472.681,1229.269,0.0025,1.56,2.76,84.01,0.33,0.05,0.88,0.29,6.14,2.53,20.51,2.0,1.47,3.25,0.025,0.51,0.46,2.95,0.34,572.03,0.47,0.05,0.9,3.17,117.44,37.79,0.01,21.96,2.44,0.5,0.22,18.39,0.07,0.05,0.52,0.07,0.35,0.1,22.86,0.54,2.38,8.65,0,0,1
6868.257,5977.895,1080.259,0.0025,4.86,4.77,279.36,0.75,0.05,1.48,0.08,22.17,11.08,30.51,5.19,3.51,10.62,0.025,1.25,1.44,12.28,1.21,1081.05,1.34,0.36,3.45,10.31,551.6,99.08,0.06,8.33,9.01,0.5,0.73,43.0,0.28,0.025,1.96,0.3,0.75,0.64,90.06,1.66,8.87,50.51,0,0,0
8271.246,6002.333,1439.559,0.0025,6.24,3.89,265.37,1.21,0.13,1.15,0.09,59.0,0.66,5.01,7.86,1.0,13.93,0.025,2.83,2.37,32.31,0.11,366.75,0.83,0.96,8.03,0.48,56.26,166.33,0.005,5.55,2.97,0.5,2.28,73.93,0.78,0.025,18.82,0.05,1.04,3.61,1.07,0.76,19.82,89.14,0,0,0
8273.002,6001.34,1439.559,0.0025,8.67,2.28,540.47,1.13,0.05,4.32,0.12,43.15,18.14,32.91,29.38,4.81,19.08,0.06,3.32,1.32,21.89,1.67,691.62,0.94,1.7,5.69,8.03,797.32,68.77,0.01,5.09,17.45,0.5,1.14,298.2,0.46,0.025,5.03,0.47,0.57,1.59,145.87,0.67,20.04,108.74,0,0,0
5699.027,6580.02,1284.399,0.0025,6.22,4.08,186.44,1.41,0.14,0.57,0.07,50.71,0.31,16.1,3.29,1.09,12.77,0.025,2.62,1.08,25.16,0.05,217.36,0.7,3.03,6.86,0.81,45.32,60.81,0.005,0.91,2.04,0.5,2.52,155.0,0.92,0.025,18.79,0.03,0.32,4.77,0.5,1.11,19.52,63.1,0,0,0
5668.96,6628.041,1284.399,0.216,0.57,70.09,51.67,0.28,0.05,0.03,0.05,1.35,0.32,24.02,1.25,0.71,0.92,0.025,0.05,0.2,0.86,0.02,66.16,2.53,0.02,0.2,0.92,37.82,10.49,0.005,18.77,0.32,0.5,0.1,14.75,0.025,0.025,0.2,0.01,0.11,0.1,5.59,0.22,0.4,1.29,1,0,0
5669.038,6632.027,1284.399,1.89,1.01,97.65,63.61,0.38,0.05,0.02,0.07,0.86,0.33,34.54,2.37,0.93,2.93,0.025,0.2,0.45,0.56,0.04,45.32,6.56,0.02,0.52,1.4,64.45,27.99,0.005,17.26,1.02,1.0,0.1,9.14,0.025,0.025,0.52,0.03,0.25,0.22,16.68,0.82,0.81,9.0,1,1,0
5674.958,6633.956,1284.399,0.0025,7.23,2.64,405.44,1.14,0.23,3.2,0.19,40.98,16.19,31.95,16.7,4.75,16.41,0.07,1.78,2.09,19.54,1.38,996.99,0.2,1.87,6.49,11.92,709.04,124.7,0.005,1.64,13.42,0.5,1.41,132.73,0.47,0.082,3.9,0.4,0.85,1.16,112.75,2.11,17.51,71.46,0,0,1
5660.019,6728.037,1156.639,0.0025,8.8,6.26,635.29,1.13,0.05,3.74,0.13,44.25,17.61,28.23,5.62,4.83,20.83,0.08,1.82,0.98,22.14,1.72,1013.77,0.38,2.93,6.42,12.03,769.8,51.04,0.04,1.76,17.89,0.5,1.7,486.02,0.53,0.025,4.64,0.43,0.48,1.32,142.24,0.8,21.92,56.94,0,0,0
5479.011,6750.046,1111.139,0.028,2.71,28.24,182.25,0.48,0.16,0.18,0.14,15.61,3.85,20.88,4.39,1.58,7.13,0.025,0.63,1.34,6.43,0.15,122.61,1.55,0.03,1.54,3.84,178.69,89.67,0.005,5.08,3.76,0.5,0.55,11.11,0.12,0.121,2.45,0.08,0.59,0.59,36.73,0.97,4.9,22.0,0,0,1
5478.022,6750.038,1111.139,0.024,7.52,51.12,570.01,1.1,0.12,0.67,0.08,47.7,4.16,15.34,12.67,2.52,19.34,0.025,2.22,2.89,27.04,0.63,433.43,0.33,0.44,5.49,5.67,353.95,204.05,0.01,1.2,8.0,0.5,1.94,78.7,0.57,0.05,13.83,0.18,1.38,2.84,69.26,1.38,13.75,80.94,0,0,1
5555.949,6806.014,1156.639,0.493,1.79,65.33,89.1,0.35,0.05,0.14,0.11,7.32,1.67,25.35,3.35,1.15,5.28,0.025,0.64,0.89,3.81,0.24,275.06,6.13,0.03,1.13,2.48,213.52,54.91,0.05,21.8,2.91,1.0,0.3,17.28,0.09,0.025,1.03,0.09,0.43,0.65,36.87,1.82,3.08,16.31,1,1,0
6093.945,6750.018,1279.219,0.0025,6.23,3.2,831.22,1.4,0.24,1.28,0.18,37.98,2.91,17.46,1.93,1.72,11.29,0.025,2.09,1.38,20.79,0.21,658.37,0.57,2.55,5.17,1.46,443.65,59.64,0.01,0.52,3.41,0.5,1.38,353.85,0.45,0.025,8.03,0.15,0.35,2.17,11.92,0.53,28.5,68.61,0,0,0
5947.032,6374.022,1301.529,0.0025,6.68,2.34,533.34,1.45,0.07,2.01,0.12,49.71,4.73,4.06,6.72,2.38,16.87,0.07,2.56,2.28,23.6,0.33,689.27,0.17,2.09,6.6,1.36,380.58,98.18,0.005,0.56,4.77,0.5,1.48,165.51,0.61,0.025,8.5,0.19,0.63,2.19,25.27,0.76,16.41,84.01,0,0,0
5777.983,6139.979,1256.439,0.005,7.51,3.29,381.02,1.57,0.09,1.13,0.2,69.84,1.02,6.08,2.77,1.47,17.12,0.1,1.62,1.24,34.48,0.12,375.63,0.47,2.96,7.19,0.55,108.81,65.51,0.005,1.83,9.44,0.5,2.73,168.81,0.75,0.025,15.29,0.07,0.67,3.41,3.8,0.48,34.96,47.71,0,0,0
6025.987,6152.051,1219.529,0.017,7.96,3.77,485.13,1.23,0.21,4.18,0.05,41.97,15.53,28.64,3.73,5.03,19.14,0.11,1.07,1.92,20.56,1.48,879.61,0.3,1.9,6.0,12.01,922.73,126.99,0.85,2.65,17.13,1.09,1.32,271.61,0.5,0.269,4.77,0.53,1.19,1.1,153.41,4.1,17.73,32.39,0,1,1
8450.08,6044.907,1444.589,0.086,1.17,1181.75,83.03,0.25,0.05,0.05,0.05,3.69,0.41,21.01,1.89,0.9,2.5,0.025,0.21,0.43,1.96,0.05,75.22,1.2,0.02,0.74,0.92,125.81,28.31,0.03,44.2,2.03,0.5,0.22,11.83,0.05,0.025,0.47,0.07,0.28,0.1,24.32,0.87,1.0,10.23,0,0,0
2869.306,1880.466,673.609,0.352,5.48,866.07,661.92,0.79,2.2,0.03,1.82,27.38,3.9,12.65,11.95,5.77,12.28,0.06,1.33,4.06,12.47,0.56,1105.93,51.71,0.04,4.31,1.53,727.22,243.02,0.39,17.18,12.97,3.71,1.83,40.27,0.3,0.755,3.1,0.35,2.51,1.03,110.29,3.93,5.67,57.78,1,1,1
2579.966,2221.598,516.659,0.197,3.94,172.67,159.81,0.62,2.74,0.01,1.34,17.87,6.79,8.64,7.8,4.56,9.34,0.025,0.75,1.8,9.51,0.25,145.45,23.09,0.02,3.05,1.99,124.41,132.02,3.63,138.6,7.45,9.42,1.89,5.33,0.23,4.775,3.38,0.16,1.28,1.0,45.83,2.44,5.43,25.14,1,1,1
8913.102,6278.424,1470.419,0.011,2.94,6.32,308.45,0.49,0.05,2.19,1.17,12.08,5.34,15.98,3.95,2.61,7.24,0.05,0.86,0.7,5.23,1.36,1883.69,0.96,0.05,1.81,3.47,313.71,47.87,0.02,28.33,5.67,0.5,0.38,36.57,0.16,0.025,1.53,0.15,0.41,0.48,49.21,1.61,4.48,55.66,0,0,0
8911.725,6276.022,1470.419,0.0025,9.98,2.37,600.83,1.19,0.07,5.17,0.12,41.99,16.49,24.31,6.26,5.67,20.62,0.12,3.36,0.83,21.2,1.59,854.84,1.42,2.05,6.18,9.95,949.0,43.6,0.01,4.41,20.68,0.5,1.01,456.97,0.48,0.025,5.32,0.5,0.32,1.66,173.72,0.77,17.45,113.54,0,0,0
8976.265,6231.452,1437.289,0.0025,1.49,14.76,45.72,0.35,0.05,9.54,0.83,8.58,5.83,8.84,1.66,2.12,4.15,0.07,0.28,0.07,3.91,1.0,2135.5,2.73,0.03,0.72,3.44,135.85,4.44,0.04,32.81,2.26,0.5,0.29,111.15,0.06,0.025,0.59,0.06,0.09,0.2,28.1,0.51,6.04,10.68,0,0,0
8975.109,6234.498,1437.289,0.0025,7.79,2.52,446.16,1.28,0.05,5.31,0.1,33.46,19.96,26.35,5.59,4.63,19.18,0.09,2.8,1.14,14.17,1.33,833.21,0.93,1.78,6.18,10.26,899.71,35.07,0.01,6.39,19.42,0.5,1.12,338.49,0.46,0.025,4.98,0.46,0.38,1.6,162.85,0.84,16.79,115.86,0,0,0
9512.361,5371.409,1342.289,0.015,4.6,5.0,210.37,0.54,0.07,6.44,0.11,21.32,14.32,18.63,8.31,3.48,9.4,0.08,0.8,1.1,11.52,1.06,1024.13,0.91,0.29,2.47,10.31,391.51,56.58,0.05,7.29,10.28,0.5,0.43,71.36,0.19,0.025,1.52,0.23,0.49,0.54,105.52,0.6,6.79,82.56,0,0,0
8133.016,5644.055,1448.799,0.0025,9.07,2.39,520.61,1.24,0.05,4.75,0.1,30.0,17.22,41.43,3.19,4.94,20.1,0.13,2.94,1.12,15.04,2.08,946.13,1.04,1.89,7.67,13.82,865.83,22.85,0.005,1.81,19.33,0.5,1.03,387.35,0.48,0.025,3.68,0.45,0.33,1.21,146.14,0.83,15.01,117.66,0,0,0
8110.039,5616.972,1448.799,0.0025,7.69,7.94,1334.11,1.45,0.05,0.99,0.05,58.08,2.59,3.24,9.3,1.63,13.41,0.17,2.59,3.66,27.75,0.28,510.49,1.58,1.25,10.42,0.85,288.95,193.0,0.02,1.14,4.18,0.5,1.6,178.43,0.86,0.025,16.18,0.15,1.79,4.02,19.08,1.43,18.25,56.39,0,0,0
8117.04,5373.946,1432.549,0.0025,5.91,2.24,241.65,0.83,0.22,4.96,0.21,24.2,9.11,20.5,10.39,3.37,15.74,0.13,1.38,1.32,11.61,1.1,1326.61,0.68,0.88,4.1,7.93,514.03,89.03,0.01,4.73,10.92,0.5,0.77,139.78,0.28,0.025,2.77,0.3,0.66,0.69,80.69,3.4,12.43,52.63,0,0,0
